Ref,Val,Package,PosX,PosY,Rot,Side
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-10.170521,-69.286498,350.000000,bottom
"L1","WS2812_LED","WS2812B_LED",-119.660000,11.010000,0.000000,bottom
"L2","WS2812_LED","WS2812B_LED",-76.040000,8.720000,0.000000,bottom
"L3","WS2812_LED","WS2812B_LED",-46.130000,2.660000,0.000000,bottom
"L4","WS2812_LED","WS2812B_LED",-25.590000,-20.600000,0.000000,bottom
"L5","WS2812_LED","WS2812B_LED",-25.280000,-56.640000,0.000000,bottom
"L6","WS2812_LED","WS2812B_LED",-10.140000,-79.060000,350.000000,bottom
"L7","WS2812_LED","WS2812B_LED",-21.770000,-96.950000,350.000000,bottom
"L8","WS2812_LED","WS2812B_LED",-55.490000,-90.750000,350.000000,bottom
"L33","WS2812_LED","WS2812B_LED",-116.930000,-71.360000,0.000000,bottom
"L34","WS2812_LED","WS2812B_LED",-153.030000,-46.950000,0.000000,bottom
"L35","WS2812_LED","WS2812B_LED",-156.040000,-5.940000,0.000000,bottom
