Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0805_2012Metric",130.241000,15.982000,0.000000,top
"C2","0.1uf","C_0805_2012Metric",126.739000,15.982000,180.000000,top
"C4","0.1uf","C_0805_2012Metric",116.585000,26.525000,180.000000,top
"C5","0.1uf","C_0805_2012Metric",116.585000,24.425000,180.000000,top
"C9","0.1uf","C_0805_2012Metric",128.475000,37.405000,180.000000,top
"C10","1u","C_0805_2012Metric",139.855000,23.135000,0.000000,top
"D1","D","D_SOD-123",2.400000,51.900000,270.000000,top
"D2","D","D_SOD-123",19.700000,51.700000,270.000000,top
"D3","D","D_SOD-123",38.700000,67.250000,270.000000,top
"D4","D","D_SOD-123",57.700000,70.250000,270.000000,top
"D5","D","D_SOD-123",76.700000,60.250000,270.000000,top
"D6","D","D_SOD-123",95.700000,58.250000,270.000000,top
"D7","D","D_SOD-123",2.400000,32.900000,270.000000,top
"D8","D","D_SOD-123",19.700000,32.700000,270.000000,top
"D9","D","D_SOD-123",38.700000,48.250000,270.000000,top
"D10","D","D_SOD-123",57.700000,51.250000,270.000000,top
"D11","D","D_SOD-123",76.700000,41.250000,270.000000,top
"D12","D","D_SOD-123",95.700000,39.250000,270.000000,top
"D13","D","D_SOD-123",2.206063,14.960553,270.000000,top
"D14","D","D_SOD-123",19.700000,13.700000,270.000000,top
"D15","D","D_SOD-123",38.700000,29.250000,270.000000,top
"D16","D","D_SOD-123",56.205487,31.730146,270.000000,top
"D17","D","D_SOD-123",76.700000,22.250000,270.000000,top
"D18","D","D_SOD-123",95.700000,20.250000,270.000000,top
"D19","D","D_SOD-123",58.736710,-3.695498,270.000000,top
"D20","D","D_SOD-123",62.312500,3.241000,270.000000,top
"D21","D","D_SOD-123",81.312500,1.241000,270.000000,top
"D22","D","D_SOD-123",143.294841,-16.065152,350.000000,top
"D23","D","D_SOD-123",117.098848,-11.658841,260.000000,top
"D24","D","D_SOD-123",135.978848,-14.068841,260.000000,top
"F2","PPTC","Fuse_1206_3216Metric",8.954000,71.251000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",20.038000,82.193000,188.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",152.144000,-5.037000,170.000000,top
"R1","5.1k","R_0805_2012Metric",134.175000,18.085000,90.000000,top
"R2","10k","R_0805_2012Metric",116.585000,28.555000,0.000000,top
"R3","5.1k","R_0805_2012Metric",27.857544,68.677502,90.000000,top
"R4","5.1k","R_0805_2012Metric",25.513819,68.677502,90.000000,top
"R5","22","R_0805_2012Metric",139.855000,19.135000,0.000000,top
"R6","5.1k","R_0805_2012Metric",136.175000,18.085000,270.000000,top
"R7","22","R_0805_2012Metric",139.855000,21.135000,0.000000,top
"R8","5.1k","R_0805_2012Metric",139.855000,25.635000,180.000000,top
"RESET","SW_PUSH","SW_Push_1P1T_NO_6x6mm_H9.5mm",119.978000,11.937000,0.000000,top
"U1","PRTR5V0U2X","SOT-143_Handsoldering",8.848000,74.290000,180.000000,top
"U3","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",128.493000,26.555000,135.000000,top
