Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0805_2012Metric",130.290000,35.190000,225.000000,top
"C2","0.1uf","C_0805_2012Metric",130.250000,17.050000,315.000000,top
"C4","0.1uf","C_0805_2012Metric",123.158249,28.118249,225.000000,top
"C5","0.1uf","C_0805_2012Metric",134.230000,35.200000,315.000000,top
"C9","0.1uf","C_0805_2012Metric",140.490000,29.090000,315.000000,top
"C10","1u","C_0805_2012Metric",122.320000,18.210000,180.000000,top
"D1","D","D_SOD-123",6.045000,55.619000,270.000000,top
"D2","D","D_SOD-123",23.345000,55.419000,270.000000,top
"D3","D","D_SOD-123",42.345000,70.969000,270.000000,top
"D4","D","D_SOD-123",61.345000,73.969000,270.000000,top
"D5","D","D_SOD-123",80.345000,63.969000,270.000000,top
"D6","D","D_SOD-123",99.345000,61.969000,270.000000,top
"D7","D","D_SOD-123",6.045000,36.619000,270.000000,top
"D8","D","D_SOD-123",23.345000,36.419000,270.000000,top
"D9","D","D_SOD-123",42.345000,51.969000,270.000000,top
"D10","D","D_SOD-123",61.345000,54.969000,270.000000,top
"D11","D","D_SOD-123",80.345000,44.969000,270.000000,top
"D12","D","D_SOD-123",99.345000,42.969000,270.000000,top
"D13","D","D_SOD-123",5.851063,18.679553,270.000000,top
"D14","D","D_SOD-123",23.345000,17.419000,270.000000,top
"D15","D","D_SOD-123",42.345000,32.969000,270.000000,top
"D16","D","D_SOD-123",59.850487,35.449146,270.000000,top
"D17","D","D_SOD-123",80.345000,25.969000,270.000000,top
"D18","D","D_SOD-123",99.345000,23.969000,270.000000,top
"D19","D","D_SOD-123",62.381710,0.023502,270.000000,top
"D20","D","D_SOD-123",65.957500,6.960000,270.000000,top
"D21","D","D_SOD-123",84.957500,4.960000,270.000000,top
"D22","D","D_SOD-123",146.939841,-12.346152,350.000000,top
"D23","D","D_SOD-123",120.743848,-7.939841,260.000000,top
"D24","D","D_SOD-123",139.623848,-10.349841,260.000000,top
"F2","PPTC","Fuse_1206_3216Metric",17.106842,64.954413,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",23.770000,84.230000,188.000000,top
"R2","10k","R_0805_2012Metric",140.790000,33.170000,180.000000,top
"R3","5.1k","R_0805_2012Metric",31.069544,70.772502,90.000000,top
"R4","5.1k","R_0805_2012Metric",28.725819,70.772502,90.000000,top
"R5","22","R_0805_2012Metric",122.320000,22.342887,180.000000,top
"R7","22","R_0805_2012Metric",122.320000,20.316219,180.000000,top
"RESET_SW1","SW_PUSH","SW_Push_1P1T_NO_6x6mm_H9.5mm",122.330000,37.750000,0.000000,top
"U1","PRTR5V0U2X","SOT-143_Handsoldering",29.175275,65.973118,0.000000,top
"U3","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",132.250000,26.150000,45.000000,top
